Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
69.25.24.24-10.8.8.138-443-58921-6,69.25.24.24,443,10.8.8.138,58921,2015-05-24 14:18:39,1,1,0.0,0.0,1
10.8.8.138-192.0.80.241-38431-443-6,10.8.8.138,38431,192.0.80.241,443,2015-05-24 14:16:28,1,1,0.0,0.0,1
69.25.24.24-10.8.8.138-443-58925-6,69.25.24.24,443,10.8.8.138,58925,2015-05-24 14:18:39,1,1,0.0,0.0,1
10.8.8.138-108.160.172.236-57923-443-6,10.8.8.138,57923,108.160.172.236,443,2015-05-24 14:30:27,10,10,598.0,5680.0,1
23.235.46.143-10.8.8.138-443-38081-6,23.235.46.143,443,10.8.8.138,38081,2015-05-24 14:15:40,1,1,0.0,0.0,1
10.8.8.138-74.125.226.32-51481-443-17,10.8.8.138,51481,74.125.226.32,443,2015-05-24 14:15:10,12,11,8181.0,5749.0,1
74.125.226.45-10.8.8.138-443-47955-6,74.125.226.45,443,10.8.8.138,47955,2015-05-24 14:17:18,2,1,0.0,0.0,1
10.8.8.138-131.202.244.3-27180-53-17,10.8.8.138,27180,131.202.244.3,53,2015-05-24 14:15:30,1,1,38.0,38.0,1
10.8.8.138-74.125.226.60-34898-443-6,10.8.8.138,34898,74.125.226.60,443,2015-05-24 14:17:18,1,1,0.0,0.0,1
10.8.8.138-209.148.205.41-60124-443-6,10.8.8.138,60124,209.148.205.41,443,2015-05-24 14:18:49,1,1,0.0,0.0,1
74.125.226.55-10.8.8.138-443-44880-6,74.125.226.55,443,10.8.8.138,44880,2015-05-24 14:15:57,2,1,0.0,0.0,1
10.8.8.138-74.125.29.155-44767-443-6,10.8.8.138,44767,74.125.29.155,443,2015-05-24 14:16:38,1,1,0.0,0.0,1
10.8.8.138-74.125.226.37-39956-443-17,10.8.8.138,39956,74.125.226.37,443,2015-05-24 14:27:50,4,3,3141.0,1501.0,1
10.8.8.138-74.125.226.35-43355-443-17,10.8.8.138,43355,74.125.226.35,443,2015-05-24 14:21:42,5,3,3830.0,2362.0,1
10.8.8.138-74.125.226.57-46617-443-6,10.8.8.138,46617,74.125.226.57,443,2015-05-24 14:18:23,1,1,0.0,0.0,1
10.8.8.138-131.202.244.3-11701-53-17,10.8.8.138,11701,131.202.244.3,53,2015-05-24 14:26:57,1,1,33.0,33.0,1
10.8.8.138-74.125.226.69-54309-443-17,10.8.8.138,54309,74.125.226.69,443,2015-05-24 14:21:43,8,7,2408.0,5179.0,1
10.8.8.138-38.65.20.18-36314-443-6,10.8.8.138,36314,38.65.20.18,443,2015-05-24 14:15:01,1,2,0.0,0.0,1
10.8.8.138-131.202.244.3-59876-53-17,10.8.8.138,59876,131.202.244.3,53,2015-05-24 14:21:42,1,1,41.0,41.0,1
10.8.8.138-192.0.77.2-48419-443-6,10.8.8.138,48419,192.0.77.2,443,2015-05-24 14:16:28,1,1,0.0,0.0,1
10.8.8.138-74.125.226.39-51619-443-6,10.8.8.138,51619,74.125.226.39,443,2015-05-24 14:18:33,1,1,0.0,0.0,1
10.8.8.138-74.125.226.69-52515-443-6,10.8.8.138,52515,74.125.226.69,443,2015-05-24 14:25:43,1,1,0.0,0.0,1
10.8.8.138-64.233.181.120-57517-443-6,10.8.8.138,57517,64.233.181.120,443,2015-05-24 14:15:34,1,1,0.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:29:08,3,3,0.0,0.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:28:51,2741,16081,1308.0,21033948.0,1
54.240.190.206-10.8.8.138-443-55583-6,54.240.190.206,443,10.8.8.138,55583,2015-05-24 14:15:17,2,1,31.0,0.0,1
54.240.190.206-10.8.8.138-443-55584-6,54.240.190.206,443,10.8.8.138,55584,2015-05-24 14:15:17,2,1,31.0,0.0,1
10.8.8.138-104.156.85.217-33974-443-6,10.8.8.138,33974,104.156.85.217,443,2015-05-24 14:15:00,6,3,568.0,156.0,1
10.8.8.138-54.240.190.206-55583-443-6,10.8.8.138,55583,54.240.190.206,443,2015-05-24 14:15:17,2,0,0.0,0.0,1
10.8.8.138-54.240.190.206-55584-443-6,10.8.8.138,55584,54.240.190.206,443,2015-05-24 14:15:17,2,0,0.0,0.0,1
104.156.85.217-10.8.8.138-443-33974-6,104.156.85.217,443,10.8.8.138,33974,2015-05-24 14:15:19,2,1,31.0,0.0,1
10.8.8.138-64.233.181.120-57517-443-6,10.8.8.138,57517,64.233.181.120,443,2015-05-24 14:15:20,2,3,0.0,63.0,1
10.8.8.138-23.235.46.143-38081-443-6,10.8.8.138,38081,23.235.46.143,443,2015-05-24 14:15:30,4,2,0.0,0.0,1
10.8.8.138-23.235.33.217-44714-443-6,10.8.8.138,44714,23.235.33.217,443,2015-05-24 14:15:30,2,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49929-443-6,10.8.8.138,49929,23.235.44.143,443,2015-05-24 14:15:32,2,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49925-443-6,10.8.8.138,49925,23.235.44.143,443,2015-05-24 14:15:32,2,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49922-443-6,10.8.8.138,49922,23.235.44.143,443,2015-05-24 14:15:33,1,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49926-443-6,10.8.8.138,49926,23.235.44.143,443,2015-05-24 14:15:33,1,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49927-443-6,10.8.8.138,49927,23.235.44.143,443,2015-05-24 14:15:33,2,3,0.0,31.0,1
10.8.8.138-23.235.44.143-49929-443-6,10.8.8.138,49929,23.235.44.143,443,2015-05-24 14:15:48,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49925-443-6,10.8.8.138,49925,23.235.44.143,443,2015-05-24 14:15:49,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49922-443-6,10.8.8.138,49922,23.235.44.143,443,2015-05-24 14:15:49,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49926-443-6,10.8.8.138,49926,23.235.44.143,443,2015-05-24 14:15:49,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49927-443-6,10.8.8.138,49927,23.235.44.143,443,2015-05-24 14:15:49,2,0,0.0,0.0,1
10.8.8.138-23.235.33.217-44714-443-6,10.8.8.138,44714,23.235.33.217,443,2015-05-24 14:15:46,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49928-443-6,10.8.8.138,49928,23.235.44.143,443,2015-05-24 14:15:33,2,3,0.0,31.0,1
10.8.8.138-72.21.91.187-36735-443-6,10.8.8.138,36735,72.21.91.187,443,2015-05-24 14:15:05,2,3,0.0,31.0,1
10.8.8.138-104.156.85.217-33967-443-6,10.8.8.138,33967,104.156.85.217,443,2015-05-24 14:15:34,2,3,0.0,31.0,1
74.125.226.55-10.8.8.138-443-44880-6,74.125.226.55,443,10.8.8.138,44880,2015-05-24 14:14:58,3,3,63.0,0.0,1
10.8.8.138-72.21.91.187-36735-443-6,10.8.8.138,36735,72.21.91.187,443,2015-05-24 14:15:50,2,0,0.0,0.0,1
10.8.8.138-23.235.44.143-49928-443-6,10.8.8.138,49928,23.235.44.143,443,2015-05-24 14:15:49,2,0,0.0,0.0,1
10.8.8.138-104.156.85.217-33967-443-6,10.8.8.138,33967,104.156.85.217,443,2015-05-24 14:15:50,2,0,0.0,0.0,1
10.8.8.138-192.0.80.241-38431-443-6,10.8.8.138,38431,192.0.80.241,443,2015-05-24 14:14:59,3,4,0.0,31.0,1
10.8.8.138-192.0.77.2-48419-443-6,10.8.8.138,48419,192.0.77.2,443,2015-05-24 14:14:59,2,4,0.0,31.0,1
10.8.8.138-23.235.46.143-38080-443-6,10.8.8.138,38080,23.235.46.143,443,2015-05-24 14:15:30,11,10,1321.0,5731.0,1
10.8.8.138-192.229.163.43-41795-443-6,10.8.8.138,41795,192.229.163.43,443,2015-05-24 14:15:01,4,5,0.0,31.0,1
10.8.8.138-74.125.29.155-44767-443-6,10.8.8.138,44767,74.125.29.155,443,2015-05-24 14:15:39,3,4,0.0,63.0,1
10.8.8.138-23.235.46.143-38080-443-6,10.8.8.138,38080,23.235.46.143,443,2015-05-24 14:16:32,2,0,0.0,0.0,1
10.8.8.138-192.229.163.43-41795-443-6,10.8.8.138,41795,192.229.163.43,443,2015-05-24 14:16:32,2,0,0.0,0.0,1
10.8.8.138-69.192.31.243-60931-443-6,10.8.8.138,60931,69.192.31.243,443,2015-05-24 14:15:24,3,2,0.0,0.0,1
69.192.31.243-10.8.8.138-443-60931-6,69.192.31.243,443,10.8.8.138,60931,2015-05-24 14:16:39,2,1,53.0,0.0,1
10.8.8.138-23.9.123.27-46318-80-6,10.8.8.138,46318,23.9.123.27,80,2015-05-24 14:15:21,3,2,0.0,0.0,1
10.8.8.138-23.9.123.27-46320-80-6,10.8.8.138,46320,23.9.123.27,80,2015-05-24 14:15:22,3,2,0.0,0.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:15:00,15,15,7642.0,3490.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:15:00,15,8,7155.0,2499.0,1
10.8.8.138-209.148.205.41-60124-443-6,10.8.8.138,60124,209.148.205.41,443,2015-05-24 14:15:00,4499,31184,1343.0,40584378.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:15:03,4,0,920.0,0.0,1
10.8.8.138-69.25.24.23-39451-443-6,10.8.8.138,39451,69.25.24.23,443,2015-05-24 14:15:00,3,3,0.0,0.0,1
10.8.8.138-69.25.24.24-58921-443-6,10.8.8.138,58921,69.25.24.24,443,2015-05-24 14:15:01,3,3,0.0,0.0,1
10.8.8.138-69.25.24.24-58926-443-6,10.8.8.138,58926,69.25.24.24,443,2015-05-24 14:15:02,3,3,0.0,0.0,1
10.8.8.138-69.25.24.24-58925-443-6,10.8.8.138,58925,69.25.24.24,443,2015-05-24 14:15:02,3,3,0.0,0.0,1
10.8.8.138-74.125.226.45-47955-443-6,10.8.8.138,47955,74.125.226.45,443,2015-05-24 14:15:33,4,4,0.0,63.0,1
10.8.8.138-69.25.24.24-58920-443-6,10.8.8.138,58920,69.25.24.24,443,2015-05-24 14:15:02,3,3,0.0,0.0,1
10.8.8.138-74.125.226.60-34898-443-6,10.8.8.138,34898,74.125.226.60,443,2015-05-24 14:15:34,4,5,0.0,63.0,1
10.8.8.138-96.16.196.150-57843-443-6,10.8.8.138,57843,96.16.196.150,443,2015-05-24 14:15:05,3,3,0.0,0.0,1
10.8.8.138-74.125.226.57-46617-443-6,10.8.8.138,46617,74.125.226.57,443,2015-05-24 14:15:08,3,3,0.0,0.0,1
10.8.8.138-74.125.226.39-51619-443-6,10.8.8.138,51619,74.125.226.39,443,2015-05-24 14:15:19,3,3,0.0,0.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:15:15,8,4,1108.0,2344.0,1
10.8.8.138-96.16.198.156-45687-443-6,10.8.8.138,45687,96.16.198.156,443,2015-05-24 14:15:31,3,3,0.0,0.0,1
10.8.8.138-96.16.196.150-57842-443-6,10.8.8.138,57842,96.16.196.150,443,2015-05-24 14:15:33,3,3,0.0,0.0,1
10.8.8.138-74.121.139.19-48455-443-6,10.8.8.138,48455,74.121.139.19,443,2015-05-24 14:15:34,3,3,0.0,0.0,1
10.8.8.138-69.25.24.26-42388-443-6,10.8.8.138,42388,69.25.24.26,443,2015-05-24 14:15:34,3,3,0.0,0.0,1
10.8.8.138-69.25.24.26-42392-443-6,10.8.8.138,42392,69.25.24.26,443,2015-05-24 14:15:34,3,3,0.0,0.0,1
10.8.8.138-69.25.24.24-58922-443-6,10.8.8.138,58922,69.25.24.24,443,2015-05-24 14:15:35,3,3,0.0,0.0,1
10.8.8.138-69.25.24.24-58923-443-6,10.8.8.138,58923,69.25.24.24,443,2015-05-24 14:15:35,3,3,0.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:15:38,3,3,0.0,0.0,1
10.8.8.138-96.16.196.150-57843-443-6,10.8.8.138,57843,96.16.196.150,443,2015-05-24 14:17:21,2,1,0.0,0.0,1
96.16.196.150-10.8.8.138-443-57843-6,96.16.196.150,443,10.8.8.138,57843,2015-05-24 14:17:59,2,1,53.0,0.0,1
10.8.8.138-96.16.198.156-45687-443-6,10.8.8.138,45687,96.16.198.156,443,2015-05-24 14:17:46,2,1,0.0,0.0,1
10.8.8.138-96.16.196.150-57842-443-6,10.8.8.138,57842,96.16.196.150,443,2015-05-24 14:17:49,2,1,0.0,0.0,1
10.8.8.138-74.121.139.19-48455-443-6,10.8.8.138,48455,74.121.139.19,443,2015-05-24 14:17:49,2,1,0.0,0.0,1
10.8.8.138-69.25.24.26-42388-443-6,10.8.8.138,42388,69.25.24.26,443,2015-05-24 14:17:50,2,1,0.0,0.0,1
10.8.8.138-69.25.24.26-42392-443-6,10.8.8.138,42392,69.25.24.26,443,2015-05-24 14:17:50,2,1,0.0,0.0,1
96.16.198.156-10.8.8.138-443-45687-6,96.16.198.156,443,10.8.8.138,45687,2015-05-24 14:18:19,2,1,53.0,0.0,1
96.16.196.150-10.8.8.138-443-57842-6,96.16.196.150,443,10.8.8.138,57842,2015-05-24 14:18:19,2,1,53.0,0.0,1
69.25.24.26-10.8.8.138-443-42388-6,69.25.24.26,443,10.8.8.138,42388,2015-05-24 14:18:19,2,1,0.0,0.0,1
69.25.24.26-10.8.8.138-443-42392-6,69.25.24.26,443,10.8.8.138,42392,2015-05-24 14:18:19,2,1,0.0,0.0,1
10.8.8.138-74.125.226.57-46617-443-6,10.8.8.138,46617,74.125.226.57,443,2015-05-24 14:17:24,3,4,0.0,63.0,1
10.8.8.138-69.25.24.24-58922-443-6,10.8.8.138,58922,69.25.24.24,443,2015-05-24 14:17:50,2,1,0.0,0.0,1
10.8.8.138-69.25.24.24-58923-443-6,10.8.8.138,58923,69.25.24.24,443,2015-05-24 14:17:50,2,1,0.0,0.0,1
69.25.24.24-10.8.8.138-443-58922-6,69.25.24.24,443,10.8.8.138,58922,2015-05-24 14:18:29,2,1,0.0,0.0,1
69.25.24.24-10.8.8.138-443-58923-6,69.25.24.24,443,10.8.8.138,58923,2015-05-24 14:18:29,2,1,0.0,0.0,1
10.8.8.138-74.125.226.39-51619-443-6,10.8.8.138,51619,74.125.226.39,443,2015-05-24 14:17:34,2,4,0.0,63.0,1
10.8.8.138-209.148.205.41-60124-443-6,10.8.8.138,60124,209.148.205.41,443,2015-05-24 14:17:00,1332,18400,0.0,24065159.0,1
10.8.8.138-69.25.24.23-39451-443-6,10.8.8.138,39451,69.25.24.23,443,2015-05-24 14:17:16,3,2,0.0,0.0,1
10.8.8.138-69.25.24.24-58921-443-6,10.8.8.138,58921,69.25.24.24,443,2015-05-24 14:17:17,3,2,0.0,0.0,1
10.8.8.138-69.25.24.24-58926-443-6,10.8.8.138,58926,69.25.24.24,443,2015-05-24 14:17:17,3,2,0.0,0.0,1
10.8.8.138-69.25.24.24-58920-443-6,10.8.8.138,58920,69.25.24.24,443,2015-05-24 14:17:18,3,2,0.0,0.0,1
10.8.8.138-69.25.24.24-58925-443-6,10.8.8.138,58925,69.25.24.24,443,2015-05-24 14:17:18,3,2,0.0,0.0,1
69.25.24.24-10.8.8.138-443-58926-6,69.25.24.24,443,10.8.8.138,58926,2015-05-24 14:18:39,2,1,0.0,0.0,1
69.25.24.23-10.8.8.138-443-39451-6,69.25.24.23,443,10.8.8.138,39451,2015-05-24 14:18:39,2,1,0.0,0.0,1
69.25.24.24-10.8.8.138-443-58920-6,69.25.24.24,443,10.8.8.138,58920,2015-05-24 14:18:39,2,1,0.0,0.0,1
10.8.8.138-209.148.205.41-60124-443-6,10.8.8.138,60124,209.148.205.41,443,2015-05-24 14:18:36,2,0,0.0,0.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:17:00,12,12,6136.0,2792.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:17:00,7,4,3087.0,714.0,1
10.8.8.138-209.148.205.35-42191-443-6,10.8.8.138,42191,209.148.205.35,443,2015-05-24 14:18:51,3,1,0.0,0.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:17:03,4,0,920.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:17:54,3,3,0.0,0.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:17:41,8,4,1108.0,2344.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:18:51,3679,21281,1112.0,27823790.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:19:00,12,12,6136.0,2792.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:19:01,7,3,2415.0,357.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:19:04,4,0,920.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:20:09,3,3,0.0,0.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:20:20,6,3,831.0,1758.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:20:51,7055,26213,1308.0,34276140.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:21:00,12,12,6136.0,2792.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:21:01,7,3,2415.0,357.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:21:04,4,0,920.0,0.0,1
10.8.8.138-74.125.226.35-54880-443-6,10.8.8.138,54880,74.125.226.35,443,2015-05-24 14:21:42,12,10,887.0,286.0,1
10.8.8.138-74.125.226.69-52515-443-6,10.8.8.138,52515,74.125.226.69,443,2015-05-24 14:21:43,12,9,887.0,286.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:22:23,6,3,831.0,1758.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:22:21,4,3,33.0,33.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:22:51,4958,26764,0.0,35007312.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:23:00,12,12,6135.0,2792.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:23:04,4,0,920.0,0.0,1
10.8.8.138-74.125.226.35-54880-443-6,10.8.8.138,54880,74.125.226.35,443,2015-05-24 14:23:59,3,5,0.0,63.0,1
10.8.8.138-74.125.226.69-52515-443-6,10.8.8.138,52515,74.125.226.69,443,2015-05-24 14:23:59,3,5,0.0,63.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:23:01,8,4,2415.0,714.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:24:51,3288,21377,1308.0,27961116.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:24:37,3,3,0.0,0.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:24:30,6,3,831.0,1758.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:25:00,12,12,6136.0,2792.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:25:04,4,0,920.0,0.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:25:46,6,4,2058.0,714.0,1
10.8.8.138-209.148.205.35-42190-443-6,10.8.8.138,42190,209.148.205.35,443,2015-05-24 14:26:51,3001,22129,1308.0,28944732.0,1
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,2015-05-24 14:27:00,14,14,7670.0,2792.0,1
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,2015-05-24 14:27:05,4,0,920.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 14:26:52,3,3,0.0,0.0,1
10.8.8.138-74.125.226.63-57642-443-6,10.8.8.138,57642,74.125.226.63,443,2015-05-24 14:26:57,13,11,887.0,286.0,1
108.160.163.110-10.8.8.138-443-32809-6,108.160.163.110,443,10.8.8.138,32809,2015-05-24 14:27:00,6,3,831.0,1758.0,1
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,2015-05-24 14:27:46,7,4,2058.0,714.0,1
10.8.8.138-216.58.219.205-37776-443-6,10.8.8.138,37776,216.58.219.205,443,2015-05-24 14:27:49,13,10,751.0,282.0,1
10.8.8.138-74.125.226.37-54064-443-6,10.8.8.138,54064,74.125.226.37,443,2015-05-24 14:27:50,12,10,887.0,286.0,1
